#,Step,Step Title,Sub-step,Sub-step Title,Problem,Difficulty,Tag,Status,Date Solved,Revision,Notes,BLOG,YT,LC,GFG,CN,TUF,Alt Link,Alt Source,LC (suggested),LC Suggested By,Solution PDF page,Origin
1,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,User Input / Output,Easy,Introduction to DSA,Not Started,,,,https://takeuforward.org/c/c-basic-input-output/,https://www.youtube.com/watch?v=EAR7De6Goz4&t=250,,https://practice.geeksforgeeks.org/problems/search-query-auto-complete/0,https://www.codingninjas.com/studio/problems/find-character-case_58513,https://takeuforward.org/plus/dsa/problems/input-output,,,,,,takeuforward roadmap
2,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,Data Types,Easy,Introduction to DSA,Not Started,,,,,https://www.youtube.com/watch?v=EAR7De6Goz4&t=755,,https://www.geeksforgeeks.org/problems/data-type-1666706751/1,https://www.codingninjas.com/studio/problems/data-type_8357232,https://takeuforward.org/plus/dsa/problems/cpp,,,,,,takeuforward roadmap
3,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,If Else statements,Easy,Introduction to DSA,Not Started,,,,https://takeuforward.org/if-else/if-else-statements/,https://www.youtube.com/watch?v=EAR7De6Goz4&t=1259,,https://practice.geeksforgeeks.org/problems/java-if-else-decision-making0924/0,https://www.codingninjas.com/studio/problems/if-else-decision-making_8357235,https://takeuforward.org/plus/dsa/problems/if-elseif,,,,,,takeuforward roadmap
4,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,Switch Statement,Easy,Introduction to DSA,Not Started,,,,https://takeuforward.org/switch-case/switch-case-statements/,https://www.youtube.com/watch?v=EAR7De6Goz4,,https://practice.geeksforgeeks.org/problems/java-switch-case-statement3529/1,https://www.codingninjas.com/studio/problems/switch-case-statement_8357244,https://takeuforward.org/plus/dsa/problems/switch-case,,,,,,takeuforward roadmap
5,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,"What are arrays, strings?",Easy,Introduction to DSA,Not Started,,,,,https://www.youtube.com/watch?v=EAR7De6Goz4&t=2415,,,,https://takeuforward.org/plus/dsa/problems/cpp,,,,,,takeuforward roadmap
6,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,For loops,Easy,Introduction to DSA,Not Started,,,,https://takeuforward.org/for-loop/understanding-for-loop/,https://www.youtube.com/watch?v=EAR7De6Goz4&t=3096,,,https://www.codingninjas.com/studio/problems/nth-fibonacci-number_74156,https://takeuforward.org/plus/dsa/problems/cpp,,,,,,takeuforward roadmap
7,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,While loops,Easy,Introduction to DSA,Not Started,,,,https://takeuforward.org/while-loop/while-loops-in-programming/,https://www.youtube.com/watch?v=EAR7De6Goz4&t=3459,,https://practice.geeksforgeeks.org/problems/while-loop-printtable-java/1,https://www.codingninjas.com/studio/problems/sum-of-even-odd_624650,https://takeuforward.org/plus/dsa/problems/cpp,,,,,,takeuforward roadmap
8,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,Functions (Pass by Reference and Value),Easy,Introduction to DSA,Not Started,,,,,https://www.youtube.com/watch?v=EAR7De6Goz4&t=3677,,https://www.geeksforgeeks.org/problems/pass-by-reference-and-value/1,https://www.codingninjas.com/codestudio/problems/fa-1-ece_4606261,https://takeuforward.org/plus/dsa/problems/cpp,,,,,,takeuforward roadmap
9,1,Step 1: Learn the basics,1,1. Things to Know in C++/Java/Python or any language,"Time Complexity [Learn Basics, and then analyse in next Steps]",Easy,Introduction to DSA,Not Started,,,,https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/,https://www.youtube.com/watch?v=FPu9Uld7W-E,,,,,,,,,,takeuforward roadmap
10,1,Step 1: Learn the basics,2,2. Build-up Logical Thinking,Patterns,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/,https://www.youtube.com/watch?v=tNm_NNSB3_w,,,,https://takeuforward.org/plus/dsa/problems/easy-and-medium,,,,,,takeuforward roadmap
